disease,SnoRNA,Score
23,334,0.980743460934831
99,289,0.980701645742933
34,301,0.9806960428043556
57,33,0.9806663580141906
47,44,0.9806296333717008
61,32,0.9805706286621718
54,78,0.9804977241844368
110,310,0.980446601510334
21,243,0.9803988756874396
21,168,0.9803768917877604
21,289,0.9803171557871544
54,185,0.9802286583758648
9,23,0.9801480910146688
53,23,0.9801480910146688
76,39,0.9801345641615136
34,322,0.9801257844951984
23,204,0.9800990560377764
53,84,0.9800090983897968
53,133,0.9800090983897968
82,84,0.9800090983897968
11,125,0.9798845249303062
47,33,0.9798726278035332
54,11,0.9798306100844588
53,205,0.979667257357717
82,205,0.979667257357717
23,205,0.979667257357717
108,2,0.979575033299512
0,35,0.9795702882777318
54,208,0.9795454304800506
53,78,0.9795362122866854
91,111,0.9795362122866854
82,111,0.9795362122866854
91,78,0.9795362122866854
42,57,0.979470497638104
21,242,0.9794539186810768
77,1,0.979369552296665
77,35,0.979369552296665
34,325,0.9793537122959284
9,8,0.9793332367463116
53,8,0.9793332367463116
42,328,0.9791884640237244
102,37,0.9790651452725
102,41,0.9790651452725
102,44,0.9790651452725
99,138,0.9790069949724894
32,33,0.979005373343655
32,27,0.979005373343655
23,141,0.9790010673200488
25,33,0.9788224803484324
25,37,0.9788224803484324
25,42,0.9788224803484324
25,45,0.9788224803484324
25,44,0.9788224803484324
54,233,0.97871827500745
54,281,0.97871827500745
9,222,0.9786515290760112
53,222,0.9786515290760112
82,177,0.9785561570922044
72,26,0.9785439281875152
29,278,0.9785190327052162
23,20,0.9784798725611475
9,20,0.9784798725611475
53,20,0.9784798725611475
53,152,0.9784798725611475
9,152,0.9784798725611475
23,152,0.9784798725611475
53,73,0.9784788346080608
42,146,0.9784230672418888
54,136,0.9784230672418888
54,146,0.9784230672418888
42,197,0.97831416088611
54,197,0.97831416088611
53,102,0.9782714161681244
9,102,0.9782714161681244
16,1,0.9780330072226197
16,35,0.9780330072226197
54,224,0.9780195544071072
74,32,0.978018233508694
74,334,0.978018233508694
21,157,0.9778646599740942
21,299,0.9778646599740942
21,305,0.9778430986103654
54,75,0.9778268413794003
21,135,0.97772290122336
82,100,0.9777224252461226
91,100,0.9777224252461226
78,37,0.977660306747242
31,32,0.9775600575072624
30,32,0.9775600575072624
12,32,0.9775600575072624
96,37,0.9774824407070732
29,57,0.977409958726456
108,264,0.9774059059292968
24,123,0.9773939842345284
99,204,0.9772251736045464
54,267,0.9772131546134464
42,19,0.9771306897321316
11,95,0.977078893041396
9,267,0.977077692302414
53,267,0.977077692302414
82,147,0.9770206243222388
11,104,0.9770185207783734
76,46,0.976982104093241
11,141,0.9769776028323128
11,147,0.9769776028323128
34,185,0.9769610486236888
29,265,0.9769198222813528
91,271,0.9769149187115428
0,39,0.9768276690097932
23,108,0.9768204480963272
29,78,0.9767902826638062
34,78,0.9767902826638062
11,211,0.976740286671948
11,330,0.976740286671948
54,57,0.9766797995603048
34,278,0.9766337630052152
29,274,0.976609303620579
110,150,0.9765896224044258
11,261,0.9765771849926856
11,179,0.9765771849926856
21,155,0.9765542307653492
21,297,0.9765542307653492
21,244,0.9765542307653492
21,184,0.9765542307653492
21,325,0.9764734987746468
42,274,0.9764540661471226
42,224,0.9764540661471226
11,127,0.9764354282644108
54,125,0.9761904815953248
42,10,0.9761495174880936
42,6,0.9761495174880936
42,164,0.9761495174880936
11,117,0.9759207374281818
11,118,0.9759207374281818
11,124,0.9759207374281818
11,98,0.9759207374281818
23,319,0.9758850199975156
35,45,0.975813795705975
26,45,0.975813795705975
91,177,0.9758014709280556
29,207,0.9757963895902844
110,244,0.9757838756858518
11,126,0.9757824789614838
11,138,0.9757824789614838
23,64,0.9757336529734908
21,156,0.9757066096608904
45,33,0.9757024506790534
11,270,0.9756777406754328
7,134,0.9756262729745168
77,177,0.975565300237548
53,177,0.975553096055388
9,177,0.975553096055388
23,177,0.975553096055388
58,44,0.9755221617129578
21,143,0.9754252195965888
21,153,0.9754252195965888
21,316,0.9754252195965888
99,271,0.975370697118772
11,204,0.9753374390203624
40,44,0.9753195195859448
74,62,0.9753029578900076
54,168,0.9752974472430423
13,30,0.9752158732783144
11,20,0.975210437565844
11,202,0.9751391175897068
54,15,0.97503325278402
45,44,0.9749485226580404
87,44,0.9749485226580404
40,27,0.9749257858609024
40,334,0.9749257858609024
24,2,0.9748677289173436
24,271,0.974789348127677
91,147,0.974777270421145
54,201,0.9746380579055596
21,2,0.9746086697298476
21,36,0.9746086697298476
21,59,0.9746086697298476
23,147,0.9745497981383524
9,147,0.9745497981383524
53,147,0.9745497981383524
21,273,0.9744777002208193
110,156,0.974472483472942
54,328,0.9744388805524652
34,35,0.9744325018448654
11,140,0.9743880812046888
0,15,0.9743582415569576
11,200,0.974277435684986
11,208,0.9742428935844044
29,264,0.9741211709196012
29,330,0.9741211709196012
78,33,0.9740813276471364
82,123,0.974077589645832
91,123,0.974077589645832
54,237,0.9740728147653148
99,287,0.9740110772564416
32,37,0.9739812949507196
91,138,0.9738490732361068
74,312,0.9738413588524536
91,205,0.9738386090835796
54,253,0.9737949571446352
82,138,0.97365660392303
26,42,0.9736136868150702
35,32,0.9736136868150702
35,42,0.9736136868150702
34,75,0.9736126893128576
54,10,0.9736065715588766
54,6,0.9736065715588766
54,323,0.9736065715588766
9,130,0.9735303939351914
23,130,0.9735303939351914
54,107,0.973496694888132
104,42,0.9734491754046216
6,44,0.9734196085072482
6,42,0.9734196085072482
57,46,0.9733920307424468
42,168,0.9733493484056258
74,177,0.9733450967560628
54,19,0.9732786664703748
23,270,0.97326531492167
23,57,0.97326531492167
99,135,0.9731188404792104
21,121,0.9731078637466136
91,105,0.9730932384373934
82,105,0.9730932384373934
9,100,0.973086962080129
21,100,0.9730742894904378
96,30,0.9730006429450287
11,177,0.9729293434345956
18,41,0.9728805651830056
18,43,0.9728805651830056
